School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
Riverview Elementary	Lakeside Union	Lakeside	92040	www.lsusd.net	32.846449	-116.931090	Active	N
Rock Springs Elementary	Escondido Union	Escondido	92026	www.eusd.org	33.137010	-117.105900	Active	N
Rodriguez Elementary	San Diego Unified	San Diego	92113	www.rodriguez.sandiegounified.org/	32.697615	-117.127250	Active	N
Rogers (Greg) Elementary	Chula Vista Elementary	Chula Vista	91911	http://schools.cvesd.org/schools/rogers/	32.611251	-117.077810	Active	N
Rohr (Fred H.) Elementary	Chula Vista Elementary	Chula Vista	91911	https://rohr.cvesd.org/	32.602452	-117.040550	Active	N
Rolando Elementary	La Mesa-Spring Valley	La Mesa	91941	www.lmsvschools.org	32.763199	-117.048760	Active	N
Rolando Park Elementary	San Diego Unified	San Diego	92115	www.rolandopark.sandiegounified.org/	32.747808	-117.054440	Active	N
Rolling Hills Elementary	Poway Unified	San Diego	92129	www.powayusd.com/pusdrhes	32.989542	-117.092730	Active	N
Roosevelt International Middle	San Diego Unified	San Diego	92103	www.roosevelt.sandiegounified.org/	32.740202	-117.147460	Active	N
Roosevelt Middle	Vista Unified	Oceanside	92057	http://rmw.vistausd.org	33.235127	-117.280670	Active	N
Rosa Parks Elementary	San Diego Unified	San Diego	92105	www.rosaparks.sandiegounified.org/	32.745833	-117.097480	Active	N
Rose Elementary	Escondido Union	Escondido	92027	www.eusd.org	33.143321	-117.065900	Active	N
Rosebank Elementary	Chula Vista Elementary	Chula Vista	91911	https://rosebank.cvesd.org/	32.649741	-117.073360	Active	N
Ross Elementary	San Diego Unified	San Diego	92111	www.ross.sandiegounified.org/	32.811323	-117.161240	Active	N
Rowan Elementary	San Diego Unified	San Diego	92105	www.rowan.sandiegounified.org/	32.723626	-117.113030	Active	N
SIATech	Vista Unified	Oceanside	92056	www.siatech.org	33.216092	-117.269890	Active	C
Sage Canyon	Del Mar Union Elementary	San Diego	92130	www.dmusd.org/sage	32.925277	-117.204110	Active	N
Sage Creek High	Carlsbad Unified	Carlsbad	92010	https://schs.carlsbadusd.net	33.142565	-117.249450	Active	N
Salt Creek Elementary	Chula Vista Elementary	Chula Vista	91914	https://saltcreek.cvesd.org/	32.649018	-116.949250	Active	N
San Altos Elementary	Lemon Grove	Lemon Grove	91945	https://sae.lemongrovesd.net/	32.724107	-117.045340	Active	N
San Diego Academy of Excellence	San Diego Unified	San Diego	92113	https://www.sandiegoneighborhoodofschools.org/	32.697962	-117.135800	Active	N
San Diego Community Academy	San Diego Unified	San Diego	92102	https://www.sandiegoneighborhoodofschools.org/	32.709848	-117.127420	Active	N
San Diego Community High	San Diego Unified	San Diego	92102	https://www.sandiegoneighborhoodofschools.org/	32.710883	-117.130560	Active	C
San Diego Cooperative Charter	San Diego Unified	San Diego	92111	http://lv.sdccs.org/	32.791139	-117.166380	Active	N
San Diego County Community	San Diego County Office of Education	San Diego	92111	www.sdcoe.net	32.768573	-117.180020	Active	C
San Diego County Court	San Diego County Office of Education	San Diego	92123	www.sdcoe.net/jccs	32.794147	-117.153960	Active	C
San Diego County ROP	San Diego County ROP	San Diego	92111	www.sdcoe.net	32.769578	-117.179840	Active	No Data
San Diego County Special Education	San Diego County Office of Education	Imperial Beach	91932	https://www.sdcoe.net/schools/friendship	32.587047	-117.127140	Active	N
San Diego Global Vision Academy	San Diego Unified	San Diego	92116	www.sdgva.org/	32.762372	-117.119100	Active	N
San Diego High	San Diego Unified	San Diego	92101	http://sdhs.sandiegounified.org/	32.719461	-117.153660	Active	C
San Diego Metro Career and Tech	San Diego Unified	San Diego	92111	https://sdmet.sandiegounified.org/	32.804756	-117.169050	Active	C
San Diego SCPA	San Diego Unified	San Diego	92139	https://scpa.sandiegounified.org/	32.679265	-117.049530	Active	C
San Diego Workforce Innovation High	Borrego Springs Unified	National City	91950	www.innovationsandiego.org	32.689527	-117.085100	Active	N
San Dieguito HS Academy	San Dieguito Union High	Encinitas	92024	No Data	33.036329	-117.275010	Active	N
San Elijo Elementary	San Marcos Unified	San Marcos	92078	www.smusd.org	33.100000	-117.195300	Active	N
San Elijo Middle	San Marcos Unified	San Marcos	92078	www.smusd.org	33.098820	-117.197360	Active	N
San Jose Valley Continuation High	Warner Unified	Warner Springs	92086	No Data	33.292294	-116.684890	Active	N
San Marcos Adult	San Marcos Unified	San Marcos	92069	www.smusd.org	33.178187	-117.156590	Active	N
San Marcos Elementary	San Marcos Unified	San Marcos	92069	www.smusd.org	33.141280	-117.168290	Active	N
San Marcos High	San Marcos Unified	San Marcos	92078	www.smusd.org	33.131215	-117.205430	Active	N
San Marcos Middle	San Marcos Unified	San Marcos	92069	www.smusd.org	33.145673	-117.174900	Active	N
San Miguel Elementary	Lemon Grove	Lemon Grove	91945	https://sme.lemongrovesd.net/	32.735134	-117.045970	Active	N
San Onofre Elementary	Fallbrook Union Elementary	San Clemente	92672	http://sos.fuesd.org/	33.390408	-117.578750	Active	N
San Pasqual Academy	San Diego County Office of Education	Escondido	92025	www.sanpasqualacademy.org	33.090580	-116.950090	Active	C
San Pasqual High	Escondido Union High	Escondido	92025	www.sphseagles.com	33.077688	-117.057240	Active	C
San Pasqual Union Elementary	San Pasqual Union Elementary	Escondido	92027	www.sanpasqualunion.net	33.111418	-117.011270	Active	N
San Ysidro Adult Education Center	Sweetwater Union High	San Ysidro	92173	No Data	32.558871	-117.041330	Active	N
San Ysidro High	Sweetwater Union High	San Diego	92154	www.sweetwaterschools.org	32.566438	-117.017480	Active	N
San Ysidro Middle	San Ysidro Elementary	San Ysidro	92173	www.sysdschools.org	32.562958	-117.038320	Active	N
Sandburg Elementary	San Diego Unified	San Diego	92126	https://sandburg.sandiegounified.org/	32.925833	-117.149790	Active	N
Santa Margarita Academy	Fallbrook Union Elementary	Fallbrook	92028	www.fuesd.org/smla	33.380281	-117.253970	Active	N
Santa Margarita Elementary	Oceanside Unified	Oceanside	92058	https://santamargarita.oside.us	33.230925	-117.379070	Active	N
Santana High	Grossmont Union High	Santee	92071	http://sultans.guhsd.net/	32.857284	-116.970970	Active	C
Santee Alternative	Santee	Santee	92071	www.santeesd.net	32.862499	-116.974210	Active	N
Santee Success Program	Santee	Santee	92071	www.santeesd.net	32.865952	-116.971110	Active	N
Scholarship Prep - Oceanside	San Diego County Office of Education	Oceanside	92057	https://scholarshipschools.org/	33.232373	-117.317000	Active	N
School for Entrepreneurship and Technology	San Diego Unified	San Diego	92123	http://sethigh.org	32.807105	-117.148500	Active	C
Science, Technology, Engineering, Arts, and Math Academy	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.712351	-117.005220	Active	N
Scripps Elementary	San Diego Unified	San Diego	92131	www.scripps.sandiegounified.org/	32.930673	-117.081740	Active	N
Scripps Ranch High	San Diego Unified	San Diego	92131	http://srhs.falcons.org	32.908719	-117.111990	Active	C
Senda Middle	Oceanside Unified	Oceanside	92057	https://senda.oside.us	33.241726	-117.300660	Active	N
Sequoia Elementary	San Diego Unified	San Diego	92117	https://sequoia.sandiegounified.org/	32.828397	-117.178640	Active	N
Sessions Elementary	San Diego Unified	San Diego	92109	https://sessions.sandiegounified.org/	32.808700	-117.232010	Active	N
Sevick Special Education	Cajon Valley Union	El Cajon	92019	No Data	32.800143	-116.922210	Active	N
Shadow Hills Elementary	Alpine Union Elementary	Alpine	91901	www.alpineschools.net/shadowhills	32.831900	-116.815220	Active	N
