School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
Balboa Elementary	San Diego Unified	San Diego	92113	www.balboa.sandiegounified.org/	32.687014	-117.108000	Active	N
Bancroft Elementary	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.730135	-117.008170	Active	N
Barnard Elementary	San Diego Unified	San Diego	92109	www.barnard.sandiegounified.org/	32.802554	-117.225100	Active	N
Barnett Elementary	Ramona City Unified	Ramona	92065	https://bes.ramonausd.net/en-us	33.018080	-116.812100	Active	N
Barona Charter	Lakeside Union	Lakeside	92040	www.baronacharterschool.org	32.933084	-116.877200	Active	N
Bay Park Elementary	San Diego Unified	San Diego	92110	www.baypark.sandiegounified.org/	32.786443	-117.203990	Active	N
Baypoint Preparatory Academy - San Diego	San Diego County Office of Education	San Marcos	92078	www.baypointprep.org	33.138648	-117.150280	Active	N
Bayside STEAM Academy	South Bay Union	Imperial Beach	91932	No Data	32.587565	-117.113110	Active	N
Bear Valley Middle	Escondido Union	Escondido	92025	www.eusd.org	33.083711	-117.056340	Active	N
Bell Middle	San Diego Unified	San Diego	92139	www.bell.sandiegounified.org/	32.688916	-117.037360	Active	N
Bella Mente Montessori Academy	Vista Unified	Vista	92083	www.bellamentecharter.org	33.189574	-117.278720	Active	N
Benchley/Weinberger Elementary	San Diego Unified	San Diego	92119	www.benchleyweinberger.sandiegounified.org/	32.794462	-117.032540	Active	N
Bernardo Elementary	Escondido Union	Escondido	92029	www.eusd.org	33.084707	-117.091370	Active	N
Bernardo Heights Middle	Poway Unified	San Diego	92128	www.powayusd.com/pusdbhms	32.995489	-117.067880	Active	N
Bethune K-8	San Diego Unified	San Diego	92114	www.bethune.sandiegounified.org/	32.689764	-117.050130	Active	N
Bird Rock Elementary	San Diego Unified	La Jolla	92037	www.birdrock.sandiegounified.org/	32.811037	-117.265010	Active	N
Birney Elementary	San Diego Unified	San Diego	92103	www.birney.sandiegounified.org/	32.755275	-117.148750	Active	N
Black Mountain Middle	Poway Unified	San Diego	92129	www.powayusd.com/pusdbmms	32.969140	-117.127090	Active	N
Blossom Valley Elementary	Cajon Valley Union	El Cajon	92021	No Data	32.861732	-116.846650	Active	N
Bobier Elementary	Vista Unified	Vista	92083	https://bo.vistausd.org/	33.220543	-117.247400	Active	N
Bonita Vista Middle	Sweetwater Union High	Chula Vista	91910	https://bvm.sweetwaterschools.org/	32.648596	-117.005270	Active	N
Bonita Vista Senior High	Sweetwater Union High	Chula Vista	91913	www.sweetwaterschools.org/	32.646030	-117.001140	Active	N
Bonsall Elementary	Bonsall Unified	Bonsall	92003	www.bonsallusd.com	33.287143	-117.220780	Active	N
Bonsall High	Bonsall Unified	Bonsall	92003	www.bonsallhs.com	33.296238	-117.176480	Active	N
Bonsall West Elementary	Bonsall Unified	Oceanside	92057	www.bonsallusd.com	33.263619	-117.293840	Active	N
Boone Elementary	San Diego Unified	San Diego	92114	www.boone.sandiegounified.org/	32.694651	-117.036400	Active	N
Borrego Springs Elementary	Borrego Springs Unified	Borrego Springs	92004	No Data	33.256865	-116.346850	Active	N
Borrego Springs High	Borrego Springs Unified	Borrego Springs	92004	www.bsusd.net	33.265514	-116.383730	Active	N
Borrego Springs Middle	Borrego Springs Unified	Borrego Springs	92004	No Data	33.264682	-116.383670	Active	N
Bostonia Global	Cajon Valley Union	El Cajon	92021	http://cajonvalley.net	32.808029	-116.931650	Active	N
Boulder Oaks Elementary	Alpine Union Elementary	Alpine	91901	www.alpineschools.net/boulderoaks	32.819163	-116.776170	Active	N
Breeze Hill Elementary	Vista Unified	Vista	92083	http://bh.vistausd.org	33.185170	-117.254560	Active	N
Buena Vista Elementary	Carlsbad Unified	Carlsbad	92008	https://bves.carlsbadusd.net	33.168932	-117.342520	Active	N
Burbank Elementary	San Diego Unified	San Diego	92113	www.burbank.sandiegounified.org/	32.700440	-117.138910	Active	N
Cabrillo Elementary	San Diego Unified	San Diego	92106	www.cabrillo.sandiegounified.org/	32.720377	-117.233640	Active	N
Cadman Elementary	San Diego Unified	San Diego	92117	www.cadman.sandiegounified.org/	32.822127	-117.214530	Active	N
Cajon Park Elementary	Santee	Santee	92071	www.santeesd.net	32.865962	-116.971110	Active	N
Cajon Valley Middle	Cajon Valley Union	El Cajon	92020	No Data	32.798383	-116.955550	Active	N
Calavera Hills Elementary	Carlsbad Unified	Carlsbad	92008	https://ches.carlsbadusd.net	33.172385	-117.290830	Active	N
Calavera Hills Middle	Carlsbad Unified	Carlsbad	92008	https://chms.carlsbadusd.net/	33.172385	-117.290830	Active	N
California Avenue Elementary	Vista Unified	Vista	92083	http://ca.vistausd.org	33.207511	-117.246640	Active	N
Camarena (Enrique S.) Elementary	Chula Vista Elementary	Chula Vista	91915	https://camarena.cvesd.org/	32.622811	-116.956510	Active	N
Campo Elementary	Mountain Empire Unified	Campo	91906	www.meusd.k12.ca.us	32.643626	-116.485610	Active	N
Canyon Crest Academy	San Dieguito Union High	San Diego	92130	www.sduhsd.net	32.960240	-117.188350	Active	N
Canyon Hills High	San Diego Unified	San Diego	92124	https://canyonhills.sandiegounified.org/	32.825282	-117.104070	Active	C
Canyon View Elementary	Poway Unified	San Diego	92129	www.powayusd.com/pusdcves	32.947126	-117.128070	Active	N
Capri Elementary	Encinitas Union Elementary	Encinitas	92024	www.eusd.k12.ca.us/ca	33.076064	-117.288460	Active	N
Cardiff Elementary	Cardiff Elementary	Cardiff-by-the-Sea	92007	No Data	33.025044	-117.282200	Active	N
Carlsbad Adult Transition	Carlsbad Unified	Carlsbad	92009	No Data	33.122871	-117.267610	Active	N
Carlsbad High	Carlsbad Unified	Carlsbad	92008	https://chs.carlsbadusd.net	33.163433	-117.327800	Active	N
Carlsbad Seaside Academy	Carlsbad Unified	Carlsbad	92008	https://csa.carlsbadusd.net	33.163433	-117.327800	Active	N
Carlsbad Village Academy	Carlsbad Unified	Carlsbad	92008	https://cva.carlsbadusd.net	33.163433	-117.327800	Active	N
Carlton Hills Elementary	Santee	Santee	92071	www.santeesd.net	32.848026	-116.996840	Active	N
Carlton Oaks Elementary	Santee	Santee	92071	www.santeesd.net	32.844606	-117.014890	Active	N
Carmel Creek Elementary	Solana Beach Elementary	San Diego	92130	http://sbsd.k12.ca.us/cc	32.950872	-117.225650	Active	N
Carmel Del Mar Elementary	Del Mar Union Elementary	San Diego	92130	www.dmusd.org/cdm	32.940870	-117.229550	Active	N
Carmel Valley Middle	San Dieguito Union High	San Diego	92130	http://sduhsd.net/cv	32.946669	-117.228950	Active	N
Carrillo Elementary	San Marcos Unified	Carlsbad	92009	www.smusd.org	33.119466	-117.241900	Active	N
Carson Elementary	San Diego Unified	San Diego	92111	www.carson.sandiegounified.org/	32.776942	-117.171040	Active	N
Carver Elementary	San Diego Unified	San Diego	92105	www.carver.sandiegounified.org/	32.739196	-117.071050	Active	N
Casa de Oro Elementary	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.747767	-116.972760	Active	N
Casillas (Joseph) Elementary	Chula Vista Elementary	Chula Vista	91910	https://casillas.cvesd.org/	32.630446	-117.009150	Active	N
Casita Center for Science/Math/Technology	Vista Unified	Vista	92083	http://cas.vistausd.org	33.191355	-117.284650	Active	N
Castle Park Elementary	Chula Vista Elementary	Chula Vista	91910	https://castlepark.cvesd.org/	32.615057	-117.057260	Active	N
Castle Park Middle	Sweetwater Union High	Chula Vista	91911	https://cpm.sweetwaterschools.org/	32.604981	-117.059390	Active	N
Castle Park Senior High	Sweetwater Union High	Chula Vista	91911	https://cph.sweetwaterschools.org/	32.606982	-117.052840	Active	N
Central Elementary	Escondido Union	Escondido	92025	www.eusd.org	33.118835	-117.079910	Active	N
Central Elementary	National Elementary	National City	91950	No Data	32.676133	-117.101300	Active	N
Central Elementary	San Diego Unified	San Diego	92105	www.central.sandiegounified.org/	32.753388	-117.110840	Active	N
Challenger Middle	San Diego Unified	San Diego	92126	www.challenger.sandiegounified.org/	32.913729	-117.156130	Active	N
Chaparral Elementary	Poway Unified	Poway	92064	www.powayusd.com/pusdches	33.023731	-117.049950	Active	N
Chaparral High	Grossmont Union High	El Cajon	92020	http://chaparral.guhsd.net/	32.816896	-116.979700	Active	C
Chase Avenue Elementary	Cajon Valley Union	El Cajon	92020	No Data	32.780336	-116.960030	Active	N
Chavez Elementary	San Diego Unified	San Diego	92113	www.chavez.sandiegounified.org/	32.691605	-117.108070	Active	N
Cherokee Point Elementary	San Diego Unified	San Diego	92105	www.cherokeepoint.sandiegounified.org/	32.747185	-117.111830	Active	N
Chesterton Elementary	San Diego Unified	San Diego	92111	www.chesterton.sandiegounified.org/	32.794045	-117.162090	Active	N
Chet F. Harritt Elementary	Santee	Santee	92071	www.santeesd.net	32.831437	-117.019390	Active	N
